Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
700,13.3511623562491,12897.5857142857,13033.6342857143,6,31,108,251
689,13.2458449811443,13076.8911465893,13339.0043541364,5,32,95,249
735,13.6808703332818,12679.9428571429,13281.8965986395,2,27,107,248
625,12.6156626101008,13024.0976,13172,8,40,115,247
667,13.0326572604236,13065.7301349325,13255.8530734633,7,38,109,247
723,13.5687301605089,12632.3042876902,13062.3015214385,5,22,81,246
1053,16.375110629282,12747.9002849003,13382.9658119658,7,28,104,246
599,12.3504695238389,12762.6994991653,12981.6994991653,3,23,87,246
669,13.052181851536,12941.9177877429,13032.4514200299,7,34,107,246
593,12.2884584063905,12647.4856661046,13026.4198988196,6,21,78,245
884,15.0036246123787,13000.0180995475,13105.814479638,9,40,115,244
725,13.5874844613195,13126.7820689655,13430.2482758621,3,21,78,244
4933,35.442603386824,12812.8781674437,13515.6245692276,4,27,82,243
1117,16.8653999150283,12974.5487914056,13043.6445837064,9,38,109,243
400,10.0925300880806,12589.8525,13071.0525,6,26,76,241
548,11.8130036020893,12659.0857664234,12974.3047445255,4,18,74,241
432,10.488464933684,12960.4027777778,13000.5648148148,7,36,102,241
436,10.5369107569964,12845.6536697248,13586.1834862385,2,22,76,240
815,14.4061808190732,12601.5791411043,13030.3607361963,6,24,70,238
674,13.1008660259656,13081.0029673591,13200.0089020772,10,41,115,238
3738,30.8524534461039,12588.8991439272,13242.5478865704,3,31,101,237
1225,17.6619276541411,12668.2889795918,13338.3028571429,5,29,110,237
1109,16.8048960431851,12693.3174030658,13393.0865644725,6,27,105,237
848,14.6949456204194,13105.6898584906,13237.6037735849,6,39,113,237
756,13.8749349246747,12725.585978836,13428.2843915344,5,26,103,236
1009,16.0293399779141,13044.260654113,13124.2150644202,8,46,114,236
946,15.5208544179724,12547.7410147992,13086.1257928118,5,26,73,234
644,12.8059850601931,12530.7593167702,13164.7437888199,4,28,84,233
1195,17.444318593505,13000.6184100418,12994.9163179916,7,39,104,233
426,10.415373695237,12682.2887323944,12942.3896713615,2,18,69,232
971,15.7246023665964,12532.0731204943,13241.2554067971,5,29,90,231
1091,16.6679593430393,12622.8652612282,13359.5829514207,6,30,106,231
1643,20.4544986347741,12746.7431527693,13535.4370054778,5,28,88,231
828,14.5206221839198,13160.3260869565,13300.4275362319,4,31,100,231
887,15.029061688476,12582.9131905299,13320.9098083427,6,28,102,230
665,13.0131033750515,12684.5203007519,13436.9759398496,6,29,108,230
239,7.80133643924814,12927.9958158996,12902.5313807531,4,24,87,230
803,14.2997297486514,13089.6774595268,13136.2328767123,7,46,118,230
1073,16.5298882724647,12692.0820130475,13484.027027027,8,29,103,228
1083,16.6067361449996,13202.0249307479,13409.2603878116,3,19,76,228
928,15.3724838429854,12499.9256465517,13208.2015086207,6,29,88,227
726,13.5968519112163,12596.805785124,13397.6845730028,6,27,107,227
631,12.676073151634,13145.1236133122,13211.3407290016,6,37,117,227
537,11.6938414177958,12968.0540037244,12925.2476722533,6,28,91,226
953,15.5781724610598,12496.463798531,13264.4763903463,6,27,89,225
910,15.2226672151039,12567.5142857143,13370.7648351648,7,30,104,225
343,9.34581364937436,13047.416909621,13054.6472303207,6,48,111,225
