Volume,Radius,X,Y
5187,0,39418.7692469969,6098.2449493696
1323,0,40245.0677544147,33511.0375871032
871,0,40304.8907047828,33748.6886429089
1466,0,40210.6179524567,33983.5417550371
803,0,40057.4663011627,33991.2187352302
1073,0,40077.8365999148,34189.2389220281
898,0,40526.0808952796,34093.2127207368
1517,0,43216.0274431737,15592.3023421154
3722,0,44750.1147291086,29039.1443626861
5474,0,44880.1996398653,28562.5297580835
850,0,44948.3898271409,28866.7748006017
728,0,53668,36745
1655,0,53668,37761
5997,0,53668,37897
4088,0,53668,38033
871,0,53668,38081
2171,0,53668,38145
1053,0,53668,38971
957,0,53668,39163
992,0,53668,39843
1373,0,53668,39867
603,0,53668,39931
876,0,53668,39987
819,0,53668,40035
719,0,53668,40107
1133,0,53668,40171
4330,0,53668,40857
4089,0,53668,41217
1409,0,53668,43059
661,0,53668,43179
462,0,53668,43251
782,0,53668,43955
643,0,53668,44067
2150,0,53668,44139
214,0,53668,44195
602,0,53668,44259
8299,0,4129.68910720783,14205.0657867752
1283,0,9279.84929081378,47974.6258607934
1617,0,11558.7379549446,37695.52837727
910,0,12374.9689805685,35189.5104912149
2029,0,12504.5926976545,35562.0101684713
1644,0,12997.8012970098,37038.2152073045
962,0,13211.8156501309,37352.6295410978
1208,0,17314.9085752476,33712.668985845
1018,0,21076.1731335698,23234.1040441729
975,0,21742.6806318681,23309.4862980769
1169,0,27495.3353219851,7267.6127389097
1252,0,27998.8964484657,28558.5541799487
2160,0,28189.0044240995,19216.479037863
1244,0,28243.3325053748,28275.3472207727
1004,0,28265.3139772788,27845.2884294406
1871,0,28377.158092435,19566.7856665054
1361,0,29194.1758171046,25522.5424361885
3979,0,29456.4169322985,25190.8490056129
870,0,30962.1592763761,20812.9910067449
1031,0,33574.0439511156,9897.16338715103
1280,0,34168.5523278698,18610.0681211167
1004,0,39452.7814009662,11189.8356826153
