Volume,Radius,X,Y
1556,0,16569.1026452732,24045.6202804279
1364,0,16606.7431251556,23717.3278177364
2020,0,16916.6662064681,24183.0067073942
2306,0,17743.1227312771,33369.4342710337
1796,0,18005.0712722635,25964.7426128856
5396,0,17909.054820557,27083.3402813666
2344,0,18504.1132972698,27263.173335191
7258,0,19299.1761896084,27587.0430091025
7770,0,23458.215528458,998.128553079335
5622,0,23476.4267494235,23083.4069222646
4420,0,23436.6611377206,1675.37340069549
1654,0,23604.4390548192,6644.33126112965
1857,0,23812.795207812,6784.70657020828
6092,0,23982.7993766533,22464.3968361227
1755,0,24141.1493160341,24477.9974778069
1048,0,24542.9958268127,6932.86308566055
1955,0,26806.6366541199,22885.552573092
1462,0,26951.849143015,35404.3745550372
1325,0,28376.7811071514,37919.5981539081
2257,0,29205.4471256326,38061.3437416947
4110,0,29737.3395000122,37803.1302792045
2573,0,30182.7054181135,26325.7298669148
3276,0,30720.4610796023,24890.4776139321
979,0,31339.0860034135,29431.0718288889
1709,0,33027.4612034897,10674.3997166505
9309,0,33608.666632227,10652.91360799
2106,0,34173.2373699206,10562.2504283173
2882,0,34396.3708476853,21982.8286414954
5256,0,34946.9032956718,23795.2271440987
2909,0,35233.5108058346,24361.8595958376
2498,0,35744.6985946832,24367.0341023539
2017,0,36169.5175353925,24628.2733429858
1742,0,36338.941893342,38275.1673960715
2021,0,37571.6202340506,2377.5614382786
1987,0,38176.9096018114,820.412046699954
1697,0,42318.3910480586,43449.6268774835
2551,0,47493.2943464153,36282.541885652
1888,0,48270.6472246537,36424.2391354719
3822,0,49321.459415855,30665.7764488623
7137,0,54795,40457
7183,0,54795,41473
4995,0,54795,41609
1564,0,54795,41745
2005,0,54795,41857
1085,0,54795,42683
1284,0,54795,42875
1085,0,54795,43555
5239,0,54795,43579
1987,0,54795,43699
1314,0,54795,43819
1972,0,54795,43883
1056,0,54795,44569
2851,0,54795,44929
4333,0,54795,46771
2375,0,54795,46891
6090,0,54795,47587
1612,0,54795,47667
8764,0,54795,47779
10483,0,54795,47851
7512,0,54795,47907
2191,0,54795,47971
3935,0,54795,48043
1955,0,13911.9609345673,1735.58967057148
2097,0,14150.7659534417,1863.66186860764
14797,0,14545.5974936644,1530.48171863012
2654,0,21604.1700435083,8252.00449532005
3502,0,21732.1557575156,7738.43231029003
2522,0,23718.135795876,5949.21486426346
3614,0,30313.4359116579,99.2339653085922
3627,0,2946.61977707205,33048.5868827449
767,0,6284.47389927026,40694.3628074789
3673,0,6210.92190146303,30742.2483326795
3520,0,7001.05264487161,26265.3141854918
497,0,9344.77241628684,52872.4573845524
632,0,11761.9778774357,24909.1494163338
703,0,16817.7412843868,20085.369764428
533,0,18899.3858244475,8553.12912223739
831,0,28165.7093803881,36209.3444733849
726,0,32084.7958288849,7806.1783668728
1022,0,33374.1748294471,17086.2610596341
704,0,33655.4921031498,17598.4072157283
755,0,34031.0524085998,17520.4561001285
828,0,34311.7697673614,9923.49852869902
593,0,38611.5470368799,54419.5576464723
848,0,38500.5541982222,61238.9030747952
573,0,39468.699854525,5221.84929866678
415,0,40456.4323954173,42459.695342677
1041,0,40349,40465
675,0,40349,41481
600,0,40349,41617
4161,0,40349,41753
4748,0,40349,41801
751,0,40349,41825
1048,0,40349,41865
2124,0,40349,42691
2806,0,40349,42883
6010,0,40349,43563
2533,0,40349,43587
979,0,40349,43651
691,0,40349,43707
524,0,40349,43755
810,0,40349,43827
812,0,40349,43891
6748,0,40349,44553
