Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
3253,28.7814114977827,881.245926836766,52236.3873347679,1,4,5,9
6087,39.3705705033669,935.422046985379,52331.0806637095,1,3,5,10
1326,18.3756122962955,943.140271493213,52073.8680241327,1,3,5,8
5363,36.9550637353386,968.187581577475,52417.0372925601,1,3,4,11
8111,45.4472132200576,985.717297497226,51945.2957711749,1,2,4,7
4859,35.1757613929483,1158.91397406874,52965.2152706318,1,3,3,10
6594,40.9774122120557,1197.66515013649,53087.7001819836,1,2,3,9
1942,22.2379459297647,1264.59989701339,52834.9552008239,1,2,3,14
3354,29.2248025931459,1523.26296958855,52355.4955277281,1,1,3,16
3178,28.4476897943167,1735.95626179987,52196.2715544368,1,2,5,14
1735,21.0193749198948,1725.70028818444,52924.9429394813,1,2,3,11
5045,35.842693825071,1831.46422200198,52497.0919722497,1,2,7,12
3100,28.0964146776026,1833.35322580645,52854.3077419355,1,2,4,11
3360,29.2509311657258,1926.70654761905,52135.9583333333,1,2,4,8
7393,43.3890768609498,1981.3784661166,52414.5814960097,1,2,5,9
5243,36.5392800505058,2003.16574480259,52701.6561129125,1,1,5,9
3781,31.0294012789279,2012.370536895,6960.25125628141,1,3,5,10
6625,41.0736216661508,2038.07366037736,7618.49796226415,1,2,4,9
3845,31.2909125769981,2142.31677503251,6858.86631989597,1,3,5,11
3501,29.8583711749915,2139.69294487289,7096.98857469294,1,3,5,12
3596,30.2607647056965,2225.48303670745,7699.74805339266,1,4,4,10
641,12.7761226369759,2202,7840.00936037442,1,2,4,6
2828,26.8355042155389,2251.48797736917,7004.43776520509,1,4,5,12
6415,40.4174013995855,2370.66952455183,7607.45814497272,1,2,4,11
4770,34.8521236896311,2415.14716981132,6949.93459119497,1,2,7,11
3278,28.8917954708317,2734.01128737035,7085.95546064674,1,2,4,10
1726,20.9647869257614,2840.88702201622,6980.19466975666,1,3,4,9
879,14.9611333783387,2947.78839590444,6910.01592718999,1,2,3,7
613,12.4939652706629,3370.27079934747,37047.6492659054,1,1,1,1
3475,29.7472937187728,6896.88892086331,50529.9237410072,1,1,3,5
6780,41.5513275679716,7151.0994100295,50374.8247787611,1,3,5,5
666,13.0228839877626,7187.34234234234,50295.0195195195,1,3,5,5
4077,32.221103717549,7221.26588177582,46302.2698062301,1,2,2,3
4939,35.4641512275339,7338.59242761693,50615.0862522778,1,1,4,5
5510,37.4581096466192,7347.60598911071,46128.8938294011,1,2,2,3
2803,26.7166256997124,7350.06564395291,50385.4334641456,1,3,4,5
3552,30.07506230384,7792.39189189189,45722.5160472973,1,1,1,3
19143,69.8192303092282,8154.455310035,35465.0120148357,1,1,1,1
5774,38.3449739374037,8251.66591617596,52116.8167648078,1,1,1,2
3185,28.4790026158975,8381.7032967033,52664.7092621664,1,1,1,2
3431,29.5583655772316,9403.09414164966,54178.8927426406,1,3,3,3
2116,23.2128192025855,9422.73676748582,54266.0661625709,1,3,3,3
2336,24.389701008833,9536.74871575343,54144.6956335616,1,3,3,3
760,13.9115926766041,10389.6486842105,53012.0394736842,1,1,1,1
4036,32.0586799558282,14569.7475222993,3122.95837462834,1,1,1,1
424,10.3908956973661,15725,57335.5,1,1,3,3
3574,30.1680563937535,15760.3108561835,57010.5598768886,1,1,2,3
4790,34.9251125102882,15923.3947807933,57517.4553235908,1,1,2,3
43192,104.874937345584,16299.774657344,3770.21561863308,1,1,1,2
5177,36.3085695754981,16538.8122464748,4166.80819007147,1,1,1,2
697,13.3225220035878,17387.4820659971,9010.84074605452,1,1,1,1
6267,39.9484473461867,17431.5611935535,59101.9881921174,1,2,2,7
5052,35.8675512964073,17506.7755344418,59567.2032858274,1,1,3,7
3132,28.2410561208696,17524.7490421456,59146.004789272,1,2,4,7
3653,30.4996526436533,17889.0309334793,59303.7120175198,1,2,5,7
522,11.529362882239,17938.7011494253,59568.2988505747,1,3,5,7
566,12.005445283871,17991.0371024735,59485.8356890459,1,4,4,7
4185,32.6450838403477,18061.8059737157,59566.6064516129,1,3,4,7
2809,26.7452047334137,18477.0683517266,492.311498754005,1,1,1,1
1599,20.1787513589495,22723.3977485929,57066.2363977486,1,6,11,22
813,14.3884936659102,22744.3493234932,57317.4108241082,1,5,12,24
3094,28.0692114296451,22764.4466709761,56979.4059469942,1,6,12,22
817,14.4238462834892,22768.2447980416,57211.0146878825,2,6,12,24
1328,18.3894650025948,22794.8471385542,57177.9126506024,3,8,14,24
1215,17.5896904285051,22848.5572016461,57164.2395061728,2,8,16,24
1037,16.2502271238919,22856.1301832208,57034.6297010608,1,7,15,24
1445,19.1824458406237,22874.3480968858,57471.2920415225,2,3,12,24
2000,22.5675833419103,22895.811,56931.3095,1,4,14,22
2336,24.389701008833,22955.4113869863,57443.3052226027,2,3,11,24
3443,29.6100109845409,23006.5660760964,57216.0034853326,1,4,19,24
728,13.6155674767319,23109.8461538462,56927.0123626374,2,5,13,24
3342,29.1724752412438,23127.1672651107,57253.4156193896,1,3,20,24
2699,26.2163061137156,23143.1211559837,56860.4071878473,2,4,11,24
5876,38.682180819762,23170.8905718176,57457.8286249149,1,4,14,24
9247,48.5255521764896,23188.3199956743,57030.6765437439,1,4,15,24
5939,38.888994988768,23274.9132850648,57415.0010102711,1,5,13,24
4845,35.1250497344612,23305.5731682147,56878.5292053664,1,4,7,24
4915,35.3778811190646,23357.2541200407,57171.1861648016,1,2,13,24
5650,37.9309990054406,23393.0042477876,57536.6456637168,1,6,9,24
3170,28.411861455422,23407.2369085173,57374.0880126183,2,6,11,24
7697,44.2721690813236,23436.8913862544,57643.688190204,1,4,7,21
4273,32.986520200389,23433.2827053592,57436.2176456822,2,6,9,24
6647,41.1417628544393,23502.1066646608,57563.6171205055,1,5,8,21
3417,29.4979983197506,24349.997658765,58553.0418495757,1,1,1,2
7271,43.0295822191417,24756.653280154,59173.4695365149,1,1,1,2
