Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
1711,20.873489698859,21608.7340736411,22635.3623611923,1,6,13,24
1145,17.0754752714047,21667.5947598253,22536.8733624454,1,6,11,23
8070,45.332202959955,21751.9592317224,22564.8505576208,1,9,13,21
3229,28.6750431209784,21740.2325797461,22775.5339114277,1,4,15,24
1579,20.0521581937547,21750.2089930336,22654.082330589,1,8,13,24
3588,30.2270854913594,21793.5903010033,23249.0415273133,1,2,5,22
6017,39.1435367351277,21866.8424464019,23152.7355825162,1,2,5,22
1054,16.3828842402726,21879.9136622391,22495.0654648956,3,7,12,19
1314,18.2922757566247,21890.9109589041,22548.6925418569,4,6,13,19
1501,19.5506140908539,21945.3091272485,22501.8620919387,4,5,13,18
1854,21.7282586322006,21949.9962243797,22583.6585760518,3,6,13,19
2093,23.086317883676,22103.0291447683,22809.0473005256,1,2,11,19
3075,27.9828933459734,22187.6266666667,22577.4045528455,1,1,8,20
3396,29.4072150803867,22217.4249116608,22804.3539458186,1,2,6,20
2359,24.509476069595,22989.9347181009,22798.2051716829,1,1,3,6
6941,42.041778459068,23025.9129808385,22491.9003025501,1,1,3,7
6176,39.6573509662064,23287.0226683938,22796.9452720207,1,1,3,5
8852,47.4778189263063,23616.6355625847,22418.3993447808,1,1,2,8
1054,16.3828842402726,23664.7077798861,24920.3766603416,1,1,2,3
2847,26.925500863906,23794.6856340007,6207.43940990516,1,1,3,4
3279,28.8962020590478,23824.6956389143,22233.6221408966,1,1,2,7
1515,19.6415778911663,23903.3729372937,24425.097029703,1,1,2,5
1867,21.8043033826837,23996.2860203535,24803.4301017675,1,1,3,5
4219,32.7774240575359,24021.6231334439,6182.70561744489,1,1,4,4
3431,29.5583655772316,24227.8041387351,6266.12066452929,1,2,4,4
3833,31.2420459476324,24274.8095486564,22614.8398121576,1,2,3,5
5300,36.7373640510485,24300.1224528302,22422.8958490566,1,3,3,5
3481,29.7729637598379,24316.4774490089,6347.29359379489,1,2,3,4
10829,52.5126861433256,24356.7406039339,24349.7539015606,1,2,2,4
2305,24.2273281672352,24427.7101952278,22364.3080260304,1,2,3,5
2019,22.674525974407,24488.3655274889,24399.0921248143,1,2,2,4
8880,47.5528488258027,25966.289527027,22481.3481981982,1,1,5,26
1449,19.2089775902897,26139.9537612146,22880.1449275362,2,2,5,16
2457,25.0133946573203,26164.5535205535,22253.3650793651,1,1,10,31
1811,21.4748076383253,26184.2125897294,22925.2992821645,2,3,4,15
7665,44.1800432557394,26351.996347032,22399.084148728,2,5,12,32
2406,24.7524315760404,26358.7880299252,22053.9517871987,2,5,21,33
1670,20.6218817749871,26352.694011976,22113.8736526946,2,4,19,34
3057,27.9008719872888,26362.3166503108,22480.2404317959,2,5,13,32
2018,22.6689099926554,26360.6273538157,22918.6005946482,2,3,7,17
2180,23.5612487254927,26384.1348623853,21686.1596330275,3,5,15,23
1204,17.5098852758157,26386.6187707641,21748.5465116279,4,9,17,26
2840,26.8923792441199,26408.9626760563,21825.3,2,10,17,30
1921,22.1173830524149,26417.6002082249,22926.5320145757,2,2,7,17
1543,19.8222532398633,26420.4977316915,21961.0499027868,2,10,18,30
1278,18.039956419967,26445.7245696401,21928.1564945227,3,11,19,30
2414,24.7935486003544,26451.2493786247,21695.3852526926,3,6,16,25
1361,18.616546513167,26447.2461425422,22405.8912564291,1,5,13,34
2431,24.8806966673009,26463.3303167421,22306.2525709585,1,4,17,34
2195,23.6421691081579,26484.6801822323,22562.030523918,1,6,10,33
2466,25.0591648596553,26510.1938361719,21912.0466342255,5,10,18,30
2148,23.3876828355916,26530.4036312849,21855.2895716946,4,11,17,30
1243,17.7912155520965,26567.8077232502,21916.3346741754,4,10,18,30
2668,26.0653145208471,26584.395802099,22121.2327586207,1,3,18,33
692,13.2746507672084,26575.1531791908,21880.3858381503,4,10,17,30
1723,20.9465593144969,26594.5925710969,21686.3830528149,1,7,16,26
1997,22.5506513025062,26605.4066099149,22634.6099148723,2,4,10,31
1487,19.4592250771771,26635.1809011432,22013.3759246806,1,8,19,30
2932,27.3244884496069,26677.8915416098,22623.0306957708,2,4,10,31
1140,17.0381517835597,26745.1947368421,21614.0368421053,1,2,14,23
1480,19.4133692398205,26755.4081081081,21937.2297297297,1,4,16,30
3518,29.930775861572,26788.260943718,22531.9386014781,1,3,9,33
6863,41.8048872633749,27021.4324639371,35325.0065568993,1,2,2,3
2096,23.1028573374157,27080.7757633588,22265.2657442748,2,2,4,30
1514,19.6350944521743,27112.2166446499,22310.7694848085,2,2,5,28
1736,21.0254315040631,27115.2269585253,21800.0391705069,1,1,3,23
3151,28.3265875299532,27195.2386543954,35286.2484925421,1,2,3,3
7233,42.9169934339987,27297.078252454,22747.0456242223,1,3,3,9
2019,22.674525974407,27279.9474987618,22660.367013373,2,3,4,10
1479,19.4068095608902,27317.954699121,22594.6477349561,2,3,5,12
5031,35.792927093387,27454.9920492944,35512.874975154,1,1,2,3
9972,50.3919532070331,28043.8360409146,37661.9654031288,1,3,4,4
1709,20.8612865468666,28014.2972498537,37960.7764774722,1,1,4,4
2308,24.2430891977436,28149.9354419411,37762.6122183709,1,3,4,4
1379,18.7392493563098,28249.6577229877,37669.5511240029,1,3,4,4
4413,33.522547966753,29084.1892136868,38275.9755268525,1,1,1,1
2236,23.8619513955914,30407.0402504472,25988.7880143113,1,1,3,6
1176,17.3050842506389,30501.531462585,25236.9506802721,2,2,2,7
1224,17.6547172322631,30546.1323529412,25309.6789215686,2,2,2,7
15507,62.8396779434907,30656.7130328239,26002.1714709486,1,2,3,6
7571,43.9083058046878,30726.3387927619,25854.5033681152,1,2,3,8
949,15.5454451718416,30965.4815595364,25171.8524762908,1,2,2,5
2217,23.7603538301847,31058.0969778981,25083.8046910239,1,2,2,5
2263,24.0055872235431,31139.5090587715,26045.8961555457,1,1,1,4
4934,35.4461956032613,31174.0301986218,29293.1173490069,1,1,2,2
1851,21.7106720177188,31406.281469476,29651.1955699622,1,1,2,2
5973,39.0001533348348,34045.7654445002,21530.5405993638,1,1,2,3
1768,21.2183294115808,34290.0520361991,21737.628959276,1,1,3,3
3518,29.930775861572,34546.6273450824,21497.1489482661,1,1,2,3
3163,28.3804745555719,35443.4672779007,21582.6048055643,1,1,1,4
1529,19.7321223587331,35608.718116416,38010.8744277305,1,1,4,7
1999,22.5619407406614,35693.6833416708,24091.8384192096,1,2,5,6
1515,19.6415778911663,35716.297689769,38205.7709570957,1,1,6,8
1783,21.3081491841164,35817.8199663488,23986.5653393158,1,2,6,6
1928,22.1576435671729,35827.1530082988,20918.6203319502,2,3,3,4
2932,27.3244884496069,35862.9351978172,24283.4788540246,1,2,6,6
1851,21.7106720177188,35886.7493246894,38364.962182604,1,2,5,9
1321,18.3409347558686,35898.963663891,20951.6919000757,2,3,3,4
1122,16.9031048579416,35900.7379679144,37970.8992869875,1,2,5,8
1810,21.4688778280126,35924.7447513812,13367.4624309392,1,2,2,4
1520,19.6739630374637,35925.8644736842,13234.4513157895,1,2,2,4
1659,20.5538531896851,35958.0307414105,37886.6654611212,1,2,4,8
867,14.8586586560523,35981.5444059977,24356.0265282584,1,3,6,6
1254,17.8697643470634,36002.0279106858,20985.1850079745,1,3,3,4
1891,21.9440013629884,36038.7657324167,38484.7519830777,1,3,5,9
9605,49.4559719896015,36110.0515356585,6745.42842269651,1,1,2,2
1237,17.7482242313838,36089.109135004,24182.0202101859,1,3,6,6
1851,21.7106720177188,36113.2631010265,38402.3554835224,1,2,4,9
1234,17.7266894721106,36203.5583468395,24178.5623987034,1,2,5,6
7473,43.6232028118199,36229.2741870735,7080.67897765288,1,1,2,3
1245,17.8055229251785,36301.4698795181,38597.1485943775,1,1,4,8
1403,18.9016141176537,36388.0890947969,13293.4568781183,1,2,2,4
2344,24.4314285004345,36432.9236348123,13506.5473549488,1,2,2,4
6781,41.5543917121864,36511.8504645333,7688.16900162218,1,1,1,2
1228,17.6835412795898,36623.5317589577,38594.5977198697,1,1,2,5
1630,20.3734162963324,41733.0141104294,48062.1877300613,1,1,1,2
9542,49.2935122219201,42178.1088870258,47642.4779920352,1,1,2,4
3906,31.5381472560946,42327.6484895033,47285.4859190988,1,1,2,3
4222,32.7890754913031,42672.9921837991,30958.2517764093,1,1,3,4
2137,23.3277213079162,42663.7735142723,30627.5858680393,1,2,3,4
1822,21.5399278109629,42735.1350164654,31397.2052689352,1,1,1,4
911,15.2310290214006,42775.4324917673,30636.1108671789,1,2,3,4
6788,41.5758343985116,42887.4998526812,47538.6739835003,1,1,1,3
1666,20.597170104307,44197.9513805522,32191.4171668667,1,2,3,5
2225,23.8031846064166,44289.5653932584,32315.3847191011,1,3,4,5
1984,22.4771317420821,44416.330141129,32442.2237903226,1,2,5,6
3652,30.4954777544895,44602.647864184,32604.9575575027,1,2,4,6
1710,20.8673890149061,44634.1374269006,32732.8678362573,1,2,4,6
1427,19.0625959949692,44881.285914506,33003.6075683252,1,1,2,4
7942,44.9712540725443,46532.1305716444,41392.4345253085,1,2,3,3
11397,53.8722768988775,46586.5690971308,42700.4362551549,1,1,1,2
1870,21.8218145380019,46571.1978609626,35122.9069518717,1,1,1,2
4571,34.117379615042,46582.7116604682,41790.4375410195,1,1,3,3
5105,36.0552017769226,46666.266993144,34656.2648383937,1,1,1,2
2975,27.5241263097927,46684.345210084,41423.1478991597,1,2,3,3
5715,38.1485622223471,47384.7912510936,42344.2797900262,1,1,1,2
8557,46.67999739567,48669.1311207199,30759.9671613883,1,1,2,5
1896,21.9729933182435,48764.4140295359,37042.6371308017,1,1,1,1
9913,50.2426583830109,48892.7896701301,30374.5550287501,1,1,3,6
11895,55.0366866455908,49058.0507776377,30925.6850777638,1,1,3,6
13773,59.2221719453743,49156.9683438612,30602.1126842373,1,1,4,6
9357,48.8133228127054,49206.2411029176,30373.2758362723,1,1,4,6
3012,27.6947558528408,49378.3930942895,30201.802124834,1,1,2,5
9444,49.0397272840681,49757.6315120712,35084.1046166878,1,1,1,1
2555,25.5073598665105,56960.4121330724,19342.6297455969,1,1,1,1
1955,22.3122536287003,13395.105370844,1757.15191815857,1,1,6,10
2097,23.1083678580277,13408.1773962804,1984.66666666667,1,2,4,8
14797,61.3842415338761,13487.9390416976,1487.74069068054,1,1,5,9
2654,25.9968373142855,13490.8956292389,2048.69819140919,1,3,4,10
3502,29.8626351337672,13657.4474585951,1120.20445459737,1,1,3,7
2522,25.3420998807205,13648.7930214116,1950.42545598731,1,2,5,13
3614,30.3364062297197,13759.7033757609,1668.1317100166,1,1,5,13
1947,22.2665551605962,13760.3246019517,1355.11299435028,1,1,5,10
6257,39.9165625559314,13830.4773853284,2351.94997602685,1,1,1,11
7151,42.6730265727688,14139.035099986,1350.83358970773,1,1,2,9
2971,27.5056164715796,14268.6455738808,2156.27297206328,1,3,5,10
